sample_id,character,split,relative_path
0_1,成,train,train/0_1.npz
0_13,化,train,train/0_13.npz
0_15,堂,train,train/0_15.npz
0_29,大,train,train/0_29.npz
0_38,盈,test,test/0_38.npz
0_52,在,train,train/0_52.npz
0_83,史,train,train/0_83.npz
0_89,十,train,train/0_89.npz
12_1051,名,train,train/12_1051.npz
12_1077,十,train,train/12_1077.npz
12_1109,以,test,test/12_1109.npz
12_1116,六,test,test/12_1116.npz
12_1133,山,train,train/12_1133.npz
12_1136,山,train,train/12_1136.npz
12_1138,山,train,train/12_1138.npz
12_117,史,train,train/12_117.npz
12_12,太,test,test/12_12.npz
12_127,史,train,train/12_127.npz
12_1314,子,train,train/12_1314.npz
12_1317,方,train,train/12_1317.npz
12_1320,在,train,train/12_1320.npz
12_1336,公,test,test/12_1336.npz
12_1360,居,train,train/12_1360.npz
12_1362,宇,train,train/12_1362.npz
12_1365,里,train,train/12_1365.npz
12_1367,之,train,train/12_1367.npz
12_1374,尚,train,train/12_1374.npz
12_1377,之,train,train/12_1377.npz
12_1382,光,test,test/12_1382.npz
12_1387,二,train,train/12_1387.npz
12_1390,社,train,train/12_1390.npz
12_1417,而,train,train/12_1417.npz
12_1423,其,train,train/12_1423.npz
12_1438,武,train,train/12_1438.npz
12_1440,之,test,test/12_1440.npz
12_1455,云,train,train/12_1455.npz
12_15,州,train,train/12_15.npz
12_1502,光,train,train/12_1502.npz
12_1553,月,train,train/12_1553.npz
12_1571,石,train,train/12_1571.npz
12_1652,山,test,test/12_1652.npz
12_1712,天,train,train/12_1712.npz
12_19,英,train,train/12_19.npz
12_192,林,test,test/12_192.npz
12_21,武,test,test/12_21.npz
12_22,公,train,train/12_22.npz
12_23,李,train,train/12_23.npz
12_239,行,train,train/12_239.npz
12_24,公,train,train/12_24.npz
12_261,奉,test,test/12_261.npz
12_290,上,train,train/12_290.npz
12_308,守,test,test/12_308.npz
12_333,武,train,train/12_333.npz
12_350,文,train,train/12_350.npz
12_368,入,train,train/12_368.npz
12_43,柱,train,train/12_43.npz
12_470,伐,train,train/12_470.npz
12_480,昔,train,train/12_480.npz
12_484,折,test,test/12_484.npz
12_49,其,train,train/12_49.npz
12_556,九,test,test/12_556.npz
12_598,海,test,test/12_598.npz
12_609,空,test,test/12_609.npz
12_677,古,train,train/12_677.npz
12_716,大,train,train/12_716.npz
12_723,州,test,test/12_723.npz
12_727,大,train,train/12_727.npz
12_815,三,train,train/12_815.npz
12_861,凶,train,train/12_861.npz
12_871,不,train,train/12_871.npz
12_939,老,test,test/12_939.npz
13_103,之,train,train/13_103.npz
13_165,上,train,train/13_165.npz
13_178,玉,train,train/13_178.npz
13_233,西,train,train/13_233.npz
13_79,水,train,train/13_79.npz
13_86,仙,train,train/13_86.npz
14_1002,心,train,train/14_1002.npz
14_1015,大,train,train/14_1015.npz
14_1017,若,train,train/14_1017.npz
14_1027,真,train,train/14_1027.npz
14_1046,二,train,train/14_1046.npz
14_1077,生,test,test/14_1077.npz
14_1095,中,train,train/14_1095.npz
14_1111,心,train,train/14_1111.npz
14_1119,而,train,train/14_1119.npz
14_112,白,train,train/14_112.npz
14_1129,心,test,test/14_1129.npz
14_1171,春,train,train/14_1171.npz
14_1172,而,train,train/14_1172.npz
14_1174,井,train,train/14_1174.npz
14_1176,花,test,test/14_1176.npz
14_1177,不,train,train/14_1177.npz
14_1179,而,train,train/14_1179.npz
14_1213,方,test,test/14_1213.npz
14_1217,人,test,test/14_1217.npz
14_1222,又,train,train/14_1222.npz
14_1224,堂,test,test/14_1224.npz
14_1236,又,train,train/14_1236.npz
14_1241,并,test,test/14_1241.npz
14_1247,好,test,test/14_1247.npz
14_1274,采,train,train/14_1274.npz
14_1277,氏,train,train/14_1277.npz
14_1288,之,test,test/14_1288.npz
14_1296,在,train,train/14_1296.npz
14_1299,上,train,train/14_1299.npz
14_131,之,train,train/14_131.npz
14_1352,存,train,train/14_1352.npz
14_1363,忘,test,test/14_1363.npz
14_1372,是,test,test/14_1372.npz
14_1389,夫,test,test/14_1389.npz
14_139,舟,train,train/14_139.npz
14_1393,白,test,test/14_1393.npz
14_1411,大,train,train/14_1411.npz
14_1414,年,train,train/14_1414.npz
14_1418,二,train,train/14_1418.npz
14_1419,日,test,test/14_1419.npz
14_142,人,train,train/14_142.npz
14_1424,六,train,train/14_1424.npz
14_1426,有,train,train/14_1426.npz
14_1430,之,train,train/14_1430.npz
14_1444,北,train,train/14_1444.npz
14_146,斯,train,train/14_146.npz
14_1479,盈,train,train/14_1479.npz
14_1480,四,train,train/14_1480.npz
14_1481,部,train,train/14_1481.npz
14_1485,之,train,train/14_1485.npz
14_1486,荒,train,train/14_1486.npz
14_1488,抑,train,train/14_1488.npz
14_1491,悼,train,train/14_1491.npz
14_1504,天,train,train/14_1504.npz
14_1520,元,train,train/14_1520.npz
14_1531,界,test,test/14_1531.npz
14_1537,心,train,train/14_1537.npz
14_1540,空,train,train/14_1540.npz
14_1541,混,train,train/14_1541.npz
14_1555,杖,train,train/14_1555.npz
14_1579,于,test,test/14_1579.npz
14_1593,人,train,train/14_1593.npz
14_1599,良,train,train/14_1599.npz
14_1605,天,train,train/14_1605.npz
14_162,因,train,train/14_162.npz
14_1668,而,train,train/14_1668.npz
14_1670,日,train,train/14_1670.npz
14_1673,居,train,train/14_1673.npz
14_169,一,train,train/14_169.npz
14_1699,三,train,train/14_1699.npz
14_1711,非,train,train/14_1711.npz
14_1724,方,train,train/14_1724.npz
14_1725,化,train,train/14_1725.npz
